source,destination
/engine/quickstart/,/get-started/
/engine/containers/,/engine/tutorials/
/win/,/docker-for-windows/
/mac/,/docker-for-mac/
/linux/,/engine/
/article-img/,/engine/article-img/
/articles/,/engine/articles/
/examples/,/engine/examples/
/extend/,/engine/extend/
/installation/,/install/
/introduction/,/engine/introduction/
/misc/,/engine/misc/
/project/,/opensource/project/
/reference/,/engine/reference/
/security/,/engine/security/
/static_files/,/engine/static_files/
/userguide/,/engine/userguide/
/en/latest/installation/,/install/
/docker-hub-enterprise/install/,/docker-trusted-registry/install/
/docker-io/builds/,/docker-hub/builds/
/docker-trusted-registry/license/install-csengine.md,/docker-trusted-registry/install/install-csengine/
/engine/articles/basics/,/engine/userguide/basics/
/engine/project/set-up-git/,/opensource/project/set-up-git/
/engine/reference/articles/basics.md,/engine/userguide/basics/
/engine/userguide/dockerlinks/,/engine/userguide/networking/default_network/dockerlinks/
/installation/,/install/
/networking/,/engine/userguide/networking/
/opensource/project/advanced-contributing/,/opensource/workflow/advanced-contributing/
/opensource/project/create-pr/,/opensource/workflow/create-pr/
/opensource/project/find-an-issue/,/opensource/workflow/find-an-issue/
/opensource/project/get-help/,/opensource/get-help/
/opensource/project/make-a-contribution/,/opensource/workflow/make-a-contribution/
/opensource/project/review-pr/,/opensource/workflow/review-pr/
/opensource/project/work-issue/,/opensource/workflow/work-issue/
/opensource/workflow/doc-style/,/opensource/doc-style/
/opensource/workflow/get-help/,/opensource/get-help/
/opensource/workflow/set-up-dev-env/,/opensource/project/set-up-dev-env/
/opensource/workflow/set-up-git/,/opensource/project/set-up-git/
/opensource/workflow/test-and-docs/,/opensource/project/test-and-docs/
/userguide/,/engine/userguide/
/docker-trusted-registry/adminguide/upgrade.md,/docker-trusted-registry/install/upgrade/
/docker-trusted-registry/quick-start/install.md,/docker-trusted-registry/install/
/docker-trusted-registry/adminguide/docker-trusted-registry/install.md,/docker-trusted-registry/install/
/v1.6/docker-hub/,/docker-hub/
/v1.7/docker-hub/,/docker-hub/
/v1.8/docker-hub/,/docker-hub/
/v1.9/docker-hub/,/docker-hub/
/v1.10/docker-hub/,/docker-hub/
/v1.11/docker-hub/,/docker-hub/
/login,https://cloud.docker.com/app/login
/bitbucket/use-docker-images-as-build-environments-in-bitbucket-pipelines-792298897.html,https://confluence.atlassian.com/bitbucket/use-docker-images-as-build-environments-in-bitbucket-pipelines-792298897.html
/blog/docker-data-science/,https://www.dataquest.io/blog/docker-data-science/
/questions/19335444/how-to-assign-a-port-mapping-to-an-existing-docker-container,http://stackoverflow.com/questions/19335444/how-to-assign-a-port-mapping-to-an-existing-docker-container
/engine/examples/mongodb/,/samples/library/mongo/
